"Book","Color Therapy Adult Coloring Book for Adults","5"
"Business","TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF","5"
"Catalogs","CPlus for Craigslist app - mobile classifieds","5"
"Education","Elevate - Brain Training and Games","5"
"Entertainment","Bruh-Button","5"
"Finance","Credit Karma: Free Credit Scores, Reports & Alerts","5"
"Food & Drink","Domino's Pizza USA","5"
"Games","Head Soccer","5"
"Health & Fitness","Yoga Studio","5"
"Lifestyle","ipsy - Makeup, subscription and beauty tips","5"
"Medical","Blink Health","5"
"Music","Tenuto","5"
"Navigation","parkOmator – for Apple Watch meter expiration timer, notifications & GPS navigator to car location","5"
"News","The Guardian","5"
"Photo & Video","Pic Collage - Picture Editor & Photo Collage Maker","5"
"Productivity","VPN Proxy Master - Unlimited WiFi security VPN","5"
"Reference","Sky Guide: View Stars Night or Day","5"
"Shopping","Zappos: shop shoes & clothes, fast free shipping","5"
"Social Networking","We Heart It - Fashion, wallpapers, quotes, tattoos","5"
"Sports","J23 - Jordan Release Dates and History","5"
"Travel","Urlaubspiraten","5"
"Utilities","Flashlight Ⓞ","5"
"Weather","NOAA Hi-Def Radar Pro -  Storm Warnings, Hurricane Tracker & Weather Forecast","5"
